feature,value
total_rec_prncp,52.03736777
recoveries,39.20584706
annual_inc_joint,35.51172708
dti_joint,26.58458244
mths_since_rcnt_il,17.04384724
open_il_12m,16.29848101
acc_open_past_24mths,14.93152416
open_il_24m,14.13066321
fico_range_high,13.93147111
fico_range_low,13.93147111
num_tl_op_past_12m,13.85074835
open_acc_6m,12.44201353
inq_last_12m,12.12772493
inq_last_6mths,11.81244073
open_rv_24m,11.62421442
il_util,11.28544402
dti,11.22994178
inq_fi,11.18463734
total_rec_int,10.42096726
mo_sin_rcnt_tl,10.41907363
bc_open_to_buy,9.752192433
open_rv_12m,9.714805832
tot_hi_cred_lim,9.678850795
total_bc_limit,9.582071578
mo_sin_old_rev_tl_op,9.421257719
mths_since_recent_inq,9.20130063
all_util,9.146627164
avg_cur_bal,9.062841418
verification_status_joint,8.68869936
tot_cur_bal,8.56492005
mo_sin_rcnt_rev_tl_op,8.379691027
mort_acc,8.18610501
max_bal_bc,8.17144809
mths_since_recent_bc,8.013153799
total_rev_hi_lim,8.008529202
annual_inc,7.988676263
total_rec_late_fee,6.675110227
percent_bc_gt_75,6.66586497
mo_sin_old_il_acct,6.164141607
mths_since_last_record,5.988464455
bc_util,5.679976228
revol_bal,4.269199411
total_cu_tl,3.432901491
total_bal_il,3.39828705
loan_amnt,3.310342108
num_actv_rev_tl,3.157877007
open_il_6m,2.90608826
num_rev_tl_bal_gt_0,2.869952227
num_il_tl,2.713762897
pub_rec,2.499637008
total_il_high_credit_limit,2.479055482
pub_rec_bankruptcies,2.348539783
num_accts_ever_120_pd,2.01929353
open_acc,1.97169081
num_sats,1.941687591
num_op_rev_tl,1.847444223
num_bc_tl,1.642036115
mths_since_last_delinq,1.558540793
total_bal_ex_mort,1.492845052
num_bc_sats,1.281273369
pct_tl_nvr_dlq,1.135059659
mths_since_recent_bc_dlq,1.106965596
num_actv_bc_tl,1.076241237
mths_since_recent_revol_delinq,0.94302029
total_acc,0.863881871
delinq_2yrs,0.816435443
tot_coll_amt,0.690123367
num_rev_accts,0.645629383
num_tl_90g_dpd_24m,0.635167226
chargeoff_within_12_mths,0.154458347
acc_now_delinq,0.14948193
delinq_amnt,0.119149339
tax_liens,0.087782049
num_tl_30dpd,0.064143723
num_tl_120dpd_2m,0.014078211
